instance_id,sweep_type,sweep_value,alpha,initial_delay_h,solver_name,status,feasible,optimal,runtime_s,mip_gap,best_bound,objective_value,fuel_cost_usd,port_call_cost_usd,strategy_penalty_usd,port_penalty_cost_usd,fueleu_penalty_usd,delay_cost_usd,misconnection_cost_usd,operational_cost_usd,service_cost_usd,recomputed_objective_usd,n_delayed,n_misconnected,n_skipped,n_swapped,total_fuel_t,total_co2_t,total_ets_eur,total_ets_usd,total_fueleu_penalty_usd,avg_ghg_gco2eq_per_mj,fueleu_compliant,cii_rating,attained_cii,required_cii,route_valid,strategy_consistent,timeline_monotone,objective_recompute_abs_gap,seed,carbon_price_eur,total_ets_eur_at_price,n_expedited,n_speed_up
ets_25,ets_price,25.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.011218599989661016,1.956992326334369e-16,594868.5657086439,594868.5657086438,818578.125,600.0,2750.0,0.0,98919.00641728763,267890.0,1000.0,920847.1314172876,268890.0,594868.5657086438,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,98919.00641728763,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42,25.0,106210.51171874999,0,0
ets_40,ets_price,40.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.011212500001420267,1.956992326334369e-16,594868.5657086439,594868.5657086438,818578.125,600.0,2750.0,0.0,98919.00641728763,267890.0,1000.0,920847.1314172876,268890.0,594868.5657086438,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,98919.00641728763,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42,40.0,169936.81874999998,0,0
ets_55,ets_price,55.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.011637500007054769,1.956992326334369e-16,594868.5657086439,594868.5657086438,818578.125,600.0,2750.0,0.0,98919.00641728763,267890.0,1000.0,920847.1314172876,268890.0,594868.5657086438,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,98919.00641728763,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42,55.0,233663.12578124998,0,0
ets_65,ets_price,65.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.01177200001257006,1.956992326334369e-16,594868.5657086439,594868.5657086438,818578.125,600.0,2750.0,0.0,98919.00641728763,267890.0,1000.0,920847.1314172876,268890.0,594868.5657086438,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,98919.00641728763,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42,65.0,276147.33046875,0,0
ets_80,ets_price,80.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.01066319999517873,1.956992326334369e-16,594868.5657086439,594868.5657086438,818578.125,600.0,2750.0,0.0,98919.00641728763,267890.0,1000.0,920847.1314172876,268890.0,594868.5657086438,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,98919.00641728763,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42,80.0,339873.63749999995,0,0
ets_100,ets_price,100.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.012159199992311187,1.956992326334369e-16,594868.5657086439,594868.5657086438,818578.125,600.0,2750.0,0.0,98919.00641728763,267890.0,1000.0,920847.1314172876,268890.0,594868.5657086438,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,98919.00641728763,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42,100.0,424842.04687499994,0,0
ets_130,ets_price,130.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.010479800010216422,1.956992326334369e-16,594868.5657086439,594868.5657086438,818578.125,600.0,2750.0,0.0,98919.00641728763,267890.0,1000.0,920847.1314172876,268890.0,594868.5657086438,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,98919.00641728763,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42,130.0,552294.6609375,0,0
