instance_id,sweep_type,sweep_value,alpha,initial_delay_h,solver_name,status,feasible,optimal,runtime_s,mip_gap,best_bound,objective_value,fuel_cost_usd,port_call_cost_usd,strategy_penalty_usd,port_penalty_cost_usd,fueleu_penalty_usd,delay_cost_usd,misconnection_cost_usd,operational_cost_usd,service_cost_usd,recomputed_objective_usd,n_delayed,n_misconnected,n_skipped,n_swapped,total_fuel_t,total_co2_t,total_ets_eur,total_ets_usd,total_fueleu_penalty_usd,avg_ghg_gco2eq_per_mj,fueleu_compliant,cii_rating,attained_cii,required_cii,route_valid,strategy_consistent,timeline_monotone,objective_recompute_abs_gap,seed
alpha_0.0,alpha,0.0,0.0,48.0,Xpress,MIP_SOLUTION,True,True,0.023370700000668876,0.0,752257.8125,752257.8125,748757.8125,500.0,3000.0,0.0,0.0,511950.0,5000.0,752257.8125,516950.0,752257.8125,5,5,3,0,1247.9296875,3886.0530468749994,252593.44804687495,272800.92389062495,0.0,91.15999999999998,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.2,alpha,0.25,0.25,48.0,Xpress,MIP_SOLUTION,True,True,0.01576000000204658,0.0,683668.59375,683668.59375,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,683668.59375,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.5,alpha,0.5,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.014409600000362843,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,1364.296875,4248.42046875,276147.33046875,298239.11690625,0.0,91.16000000000001,False,A,3.6492187499999997,7.121011183356904,True,True,True,0.0,42
alpha_0.8,alpha,0.75,0.75,48.0,Xpress,MIP_SOLUTION,True,True,0.013799200001813006,0.0,283987.890625,283987.890625,1132601.5625,600.0,2750.0,0.0,0.0,0.0,0.0,1135951.5625,0.0,283987.890625,0,0,2,2,1887.6692708333333,5878.202109374999,382083.137109375,412649.788078125,0.0,91.15999999999998,False,A,4.79657454865361,7.121011183356904,True,True,True,0.0,42
alpha_1.0,alpha,1.0,1.0,48.0,Xpress,MIP_SOLUTION,True,True,0.012779599997884361,0.0,0.0,0.0,1271625.0,1400.0,3850.0,0.0,0.0,0.0,0.0,1276875.0,0.0,0.0,0,0,1,2,2119.375,6599.733749999999,428982.69375,463301.30925,0.0,91.16,False,A,5.301842665488431,7.121011183356904,True,True,True,0.0,42
