episode,phase,policy,vessel_idx,vessel_id,estimated_delay_h,realized_delay_h,realized_total_missed,realized_service_cost_usd,realized_ets_cost_eur,vessel_objective_value,vessel_feasible,n_skipped,n_swapped
6,train,spsa,2,V2,65.71138857664211,63.41820066890062,4,285950.0,318953.8884753406,565657.65625,True,3,0
6,train,spsa,3,V3,52.4202793524079,59.59385771716612,3,290990.0,318953.8884753406,443707.65625,True,3,0
7,train,spsa,1,V1,47.170344783286325,40.19463487434984,2,150930.0,222783.03414969772,498924.0625,True,2,2
7,train,spsa,2,V2,64.24303067483277,68.20661655528167,4,285950.0,215262.52801494155,565657.65625,True,3,0
7,train,spsa,3,V3,49.10551990120931,34.270165640087086,2,198020.0,215262.52801494155,443707.65625,True,3,0
8,train,spsa,1,V1,37.781553729770785,59.539655793086965,3,124030.0,288828.6289656839,485359.21875,True,4,0
8,train,spsa,2,V2,55.98702283576115,54.13899348178951,3,186940.0,299404.97692816553,535797.34375,True,2,2
8,train,spsa,3,V3,61.02344405335092,59.523339506431384,3,290990.0,289394.6065052978,443707.65625,True,3,0
9,train,spsa,1,V1,33.066338548787094,47.34464722570287,3,124030.0,272079.7770866852,464588.90625,True,3,0
9,train,spsa,2,V2,37.33443224122898,44.27866978573141,3,186940.0,290117.9330283886,476339.21875,True,2,2
9,train,spsa,3,V3,47.151835420175146,48.7241246356308,3,290990.0,287409.65465753793,443707.65625,True,3,0
10,train,spsa,1,V1,35.5129673698508,35.63161959379815,2,2000.0,401195.8029125557,464588.90625,True,3,0
10,train,spsa,2,V2,20.0,43.96259302217993,3,335870.0,440716.3585755542,413482.8125,True,1,2
10,train,spsa,3,V3,67.33124394014274,41.83169788941758,3,290990.0,434466.576814633,453660.78125,True,3,0
11,train,spsa,1,V1,37.018126609848885,54.43045458786471,3,124030.0,238308.66769344296,464588.90625,True,3,0
11,train,spsa,2,V2,45.586744145774034,40.03361310096673,3,186940.0,254107.8900985111,525844.21875,True,2,2
