episode,phase,policy,vessel_idx,vessel_id,estimated_delay_h,realized_delay_h,realized_total_missed,realized_service_cost_usd,realized_ets_cost_eur,vessel_objective_value,vessel_feasible,n_skipped,n_swapped
10,train,additive,3,V3,37.95043915097769,71.10936995011895,3,290990.0,281323.15624792734,443707.65625,True,3,0
11,train,additive,1,V1,70.17390015547255,58.19400263791229,2,150930.0,205810.01187900768,498924.0625,True,2,2
11,train,additive,2,V2,45.909927194340504,58.49350622560429,4,285950.0,203867.37027725598,575610.78125,True,3,0
11,train,additive,3,V3,68.01465133343424,47.17583666038554,1,1000.0,188255.52452323938,522123.90625,True,3,0
12,train,additive,1,V1,33.40930891075043,54.03821063076668,3,124030.0,232136.15443348174,464588.90625,True,3,0
12,train,additive,2,V2,29.238264625575738,65.01745397651507,3,186940.0,261632.4460904025,548594.21875,True,2,2
12,train,additive,3,V3,56.228988423295945,67.49665267043777,1,1000.0,232136.15443348174,522123.90625,True,3,0
13,train,additive,1,V1,47.385634658200836,57.48787309801083,2,150930.0,333132.24359303154,498924.0625,True,2,2
13,train,additive,2,V2,47.043245233718295,65.99979650342084,4,285950.0,340403.55475660844,588657.65625,True,3,0
13,train,additive,3,V3,69.57073399973568,55.29109946576669,1,1000.0,304717.8544942615,522123.90625,True,3,0
14,train,additive,1,V1,52.385693671714016,51.381674629156585,2,150930.0,231075.97388075027,498924.0625,True,2,2
14,train,additive,2,V2,80.0,57.788642846472385,3,3000.0,211366.43582340746,595068.90625,True,3,0
14,train,additive,3,V3,58.215426898137466,46.66963277203988,1,1000.0,211366.43582340746,522123.90625,True,3,0
15,train,additive,1,V1,38.978929826238,66.57507758021134,3,124030.0,228068.4532075845,485359.21875,True,4,0
15,train,additive,2,V2,52.7643996001859,60.89546886035602,3,3000.0,216326.7977382709,595068.90625,True,3,0
15,train,additive,3,V3,54.6669850638015,68.70540988614133,1,1000.0,216326.7977382709,522123.90625,True,3,0
16,train,additive,1,V1,35.50094840854474,59.63369806032687,3,124030.0,179232.0019724812,485359.21875,True,4,0
16,train,additive,2,V2,61.25615058483036,54.407173539740675,4,102010.0,170004.59508372247,595068.90625,True,3,0
16,train,additive,3,V3,43.05195753354323,58.398753611927035,3,290990.0,184102.90918442493,453660.78125,True,3,0
17,train,additive,1,V1,36.54249819443014,46.4079398142443,3,124030.0,272567.38449634664,485359.21875,True,4,0
17,train,additive,2,V2,59.686729538608816,54.39748153598713,3,3000.0,258534.78912457428,595068.90625,True,3,0
17,train,additive,3,V3,56.38279614445806,50.91666837173331,1,1000.0,258534.78912457428,522123.90625,True,3,0
18,train,additive,1,V1,56.40867788231503,69.87398289685862,2,150930.0,359218.71821510035,498924.0625,True,2,2
18,train,additive,2,V2,31.73023234648135,46.057926480205225,4,285950.0,347092.54090376775,565657.65625,True,3,0
18,train,additive,3,V3,38.46480653849934,56.84057831271566,3,290990.0,355828.0511636703,453660.78125,True,3,0
19,train,additive,1,V1,34.20955203374047,38.99794150956522,3,124030.0,204980.90018861875,485359.21875,True,4,0
19,train,additive,2,V2,25.1024350412968,74.60484600783028,3,186940.0,212486.90585648184,535797.34375,True,2,2
19,train,additive,3,V3,46.59743776309771,41.21990723152134,1,1000.0,194427.86194963937,522123.90625,True,3,0
20,train,additive,1,V1,38.489690034505024,67.76980832198043,2,150930.0,315542.3417553788,498924.0625,True,2,2
20,train,additive,2,V2,48.319024095913186,64.99336332474489,3,3000.0,288628.2767009989,595068.90625,True,3,0
20,train,additive,3,V3,54.84644443366182,66.93618571856376,3,199020.0,288628.2767009989,522123.90625,True,3,0
21,train,additive,1,V1,48.6417795218628,30.192914900154584,2,150930.0,324187.73011240823,498924.0625,True,2,2
21,train,additive,2,V2,22.987174140138308,64.6746627292501,3,186940.0,324079.4385764566,535797.34375,True,2,2
21,train,additive,3,V3,55.371245260284766,78.09844422090077,3,199020.0,296536.2599181442,522123.90625,True,3,0
22,train,additive,1,V1,52.52337342834447,39.85245224206461,2,150930.0,355527.0463895216,498924.0625,True,2,2
22,train,additive,2,V2,34.476145077589635,48.28087976320323,4,285950.0,343525.48916300706,565657.65625,True,3,0
22,train,additive,3,V3,63.94357280219323,50.81151256074962,1,1000.0,325202.50103092386,522123.90625,True,3,0
23,train,additive,1,V1,44.7488624381063,54.165512167734065,2,150930.0,171925.29735919903,498924.0625,True,2,2
23,train,additive,2,V2,36.85212999443304,53.85790108222163,4,285950.0,170302.49372591486,575610.78125,True,3,0
23,train,additive,3,V3,37.581678832310644,53.37201003367393,3,290990.0,170302.49372591486,453660.78125,True,3,0
24,train,additive,1,V1,34.75213637554006,49.33705084418994,3,124030.0,310057.8747180351,485359.21875,True,4,0
