instance_id,solver_name,base_seed,scenario_idx,initial_delay_h,alpha,objective_value,solution_feasible,solution_optimal,realized_carbon_price_eur,realized_ets_cost_eur,n_skipped,n_swapped,n_delayed,total_co2_t,route_signature
stochastic_ets_seed_42,Xpress,42,32,48.0,0.5,545409.0625,True,True,64.65826167944,274695.48239272664,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,33,48.0,0.5,545409.0625,True,True,58.68823110029458,249332.2822812218,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,34,48.0,0.5,545409.0625,True,True,53.889030291813015,228943.25933282718,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,35,48.0,0.5,545409.0625,True,True,101.74952617098852,432274.7696704414,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,36,48.0,0.5,545409.0625,True,True,54.834980515430274,232962.05362526138,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,37,48.0,0.5,545409.0625,True,True,54.49905048305897,231534.8815996673,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,38,48.0,0.5,545409.0625,True,True,62.286518319290785,264619.3193548468,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,39,48.0,0.5,545409.0625,True,True,65.57652400571047,278596.6468553361,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,40,48.0,0.5,545409.0625,True,True,78.88171284059815,335122.6834420569,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,41,48.0,0.5,545409.0625,True,True,52.45355208130885,222844.74432087666,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,42,48.0,0.5,545409.0625,True,True,49.923754527439854,212097.10061122593,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,43,48.0,0.5,545409.0625,True,True,80.90317250029322,343710.6940370578,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,44,48.0,0.5,545409.0625,True,True,78.87246266228627,335083.3847951771,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,45,48.0,0.5,545409.0625,True,True,67.79468007146602,288020.3064879739,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,46,48.0,0.5,545409.0625,True,True,58.48094165084815,248451.6295412377,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,47,48.0,0.5,545409.0625,True,True,54.778602455782746,232722.5359226664,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,48,48.0,0.5,545409.0625,True,True,49.0865301330749,208540.21935726906,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,49,48.0,0.5,545409.0625,True,True,49.82885659218928,211693.9342806653,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
stochastic_ets_seed_42,Xpress,42,50,48.0,0.5,545409.0625,True,True,49.05098646429471,208389.2149072888,2,2,3,4248.42046875,0->1->3->4->7->5->8->9
