instance_id,penalty_name,penalty_value,alpha,initial_delay_h,solver_name,status,feasible,optimal,runtime_s,mip_gap,best_bound,objective_value,fuel_cost_usd,port_call_cost_usd,strategy_penalty_usd,port_penalty_cost_usd,fueleu_penalty_usd,delay_cost_usd,misconnection_cost_usd,operational_cost_usd,service_cost_usd,recomputed_objective_usd,n_delayed,n_misconnected,n_skipped,n_swapped,n_speed_up,n_expedited,n_omission,n_swap_strategy,total_fuel_t,total_co2_t,total_ets_eur,total_fueleu_penalty_usd,cii_rating,route_valid,strategy_consistent,timeline_monotone,container_valid,skipped_ports_valid,max_constraint_violation,objective_recompute_abs_gap,seed,route_signature,strategy_signature,route_changed_vs_first,strategy_changed_vs_first
swap_usd_750,swap_usd,750.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.019422600002144463,0.0,455686.71875,455686.71875,908773.4375,600.0,2000.0,0.0,0.0,0.0,0.0,911373.4375,0.0,455686.71875,0,0,2,0,0,0,2,0,1514.6223958333333,4716.534140624999,306574.719140625,0.0,A,True,True,True,True,True,0.0,0.0,21,0->1->3->4->5->6->7->9,2:PORT_OMISSION|8:PORT_OMISSION,False,False
swap_usd_1000,swap_usd,1000.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.02077350000035949,0.0,455686.71875,455686.71875,908773.4375,600.0,2000.0,0.0,0.0,0.0,0.0,911373.4375,0.0,455686.71875,0,0,2,0,0,0,2,0,1514.6223958333333,4716.534140624999,306574.719140625,0.0,A,True,True,True,True,True,0.0,0.0,21,0->1->3->4->5->6->7->9,2:PORT_OMISSION|8:PORT_OMISSION,False,False
swap_usd_1500,swap_usd,1500.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.014689599993289448,0.0,455686.71875,455686.71875,908773.4375,600.0,2000.0,0.0,0.0,0.0,0.0,911373.4375,0.0,455686.71875,0,0,2,0,0,0,2,0,1514.6223958333333,4716.534140624999,306574.719140625,0.0,A,True,True,True,True,True,0.0,0.0,21,0->1->3->4->5->6->7->9,2:PORT_OMISSION|8:PORT_OMISSION,False,False
swap_usd_2500,swap_usd,2500.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.013499900000169873,0.0,455686.71875,455686.71875,908773.4375,600.0,2000.0,0.0,0.0,0.0,0.0,911373.4375,0.0,455686.71875,0,0,2,0,0,0,2,0,1514.6223958333333,4716.534140624999,306574.719140625,0.0,A,True,True,True,True,True,0.0,0.0,21,0->1->3->4->5->6->7->9,2:PORT_OMISSION|8:PORT_OMISSION,False,False
swap_usd_5000,swap_usd,5000.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.015799600005266257,0.0,455686.71875,455686.71875,908773.4375,600.0,2000.0,0.0,0.0,0.0,0.0,911373.4375,0.0,455686.71875,0,0,2,0,0,0,2,0,1514.6223958333333,4716.534140624999,306574.719140625,0.0,A,True,True,True,True,True,0.0,0.0,21,0->1->3->4->5->6->7->9,2:PORT_OMISSION|8:PORT_OMISSION,False,False
swap_usd_0,swap_usd,0.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.014287999991211109,0.0,545034.0625,545034.0625,818578.125,600.0,2000.0,0.0,0.0,267890.0,1000.0,821178.125,268890.0,545034.0625,3,1,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,42,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
swap_usd_250,swap_usd,250.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.017078399992897175,0.0,545159.0625,545159.0625,818578.125,600.0,2250.0,0.0,0.0,267890.0,1000.0,821428.125,268890.0,545159.0625,3,1,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,42,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
swap_usd_500,swap_usd,500.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.014439099992159754,0.0,545284.0625,545284.0625,818578.125,600.0,2500.0,0.0,0.0,267890.0,1000.0,821678.125,268890.0,545284.0625,3,1,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,42,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
swap_usd_750,swap_usd,750.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.014005699995323084,0.0,545409.0625,545409.0625,818578.125,600.0,2750.0,0.0,0.0,267890.0,1000.0,821928.125,268890.0,545409.0625,3,1,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,42,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
swap_usd_1000,swap_usd,1000.0,0.5,48.0,Xpress,MIP_SOLUTION,True,True,0.014404899993678555,0.0,545534.0625,545534.0625,818578.125,600.0,3000.0,0.0,0.0,267890.0,1000.0,822178.125,268890.0,545534.0625,3,1,2,2,0,0,2,2,1364.296875,4248.42046875,276147.33046875,0.0,A,True,True,True,True,True,0.0,0.0,42,0->1->3->4->7->5->8->9,2:PORT_OMISSION|5:PORT_SWAP|6:PORT_OMISSION|7:PORT_SWAP,False,False
